"geo","time","corruption_perception_index_cpi_pre2012"
"bdi",2005,2.3
"bdi",2006,2.4
"bdi",2007,2.5
"bdi",2008,1.9
"bdi",2009,1.8
"bdi",2010,1.8
"bdi",2011,1.93524
"cod",2004,2
"cod",2005,2.1
"cod",2006,2
"cod",2007,1.9
"cod",2008,1.7
"cod",2009,1.9
"cod",2010,2
"cod",2011,2.02107
"ken",1996,2.21
"ken",1998,2.5
"ken",1999,2
"ken",2000,2.1
"ken",2001,2
"ken",2002,1.9
"ken",2003,1.9
"ken",2004,2.1
"ken",2005,2.1
"ken",2006,2.2
"ken",2007,2.1
"ken",2008,2.1
"ken",2009,2.2
"ken",2010,2.1
"ken",2011,2.24349
"rwa",2005,3.1
"rwa",2006,2.5
"rwa",2007,2.8
"rwa",2008,3
"rwa",2009,3.3
"rwa",2010,4
"rwa",2011,4.98342
"tza",1998,1.9
"tza",1999,1.9
"tza",2000,2.5
"tza",2001,2.2
"tza",2002,2.7
"tza",2003,2.5
"tza",2004,2.8
"tza",2005,2.9
"tza",2006,2.9
"tza",2007,3.2
"tza",2008,3
"tza",2009,2.6
"tza",2010,2.7
"tza",2011,2.95053
"uga",1996,2.71
"uga",1998,2.6
"uga",1999,2.2
"uga",2000,2.3
"uga",2001,1.9
"uga",2002,2.1
"uga",2003,2.2
"uga",2004,2.6
"uga",2005,2.5
"uga",2006,2.7
"uga",2007,2.8
"uga",2008,2.6
"uga",2009,2.5
"uga",2010,2.5
"uga",2011,2.4339
