"geo","time","income_per_person_with_projections"
"rwa",1982,881.6
"rwa",1983,902.6
"rwa",1984,840.8
"rwa",1985,856
"rwa",1986,879.9
"rwa",1987,848
"rwa",1988,793.6
"rwa",1989,786.3
"rwa",1990,760.7
"rwa",1991,708.9
"rwa",1992,737.1
"rwa",1993,660.8
"rwa",1994,382.4
"rwa",1995,581.4
"rwa",1996,622.9
"rwa",1997,589.9
"rwa",1998,643.7
"rwa",1999,677.5
"rwa",2000,704
"rwa",2001,735
"rwa",2002,785.7
"rwa",2003,774.1
"rwa",2004,785.8
"rwa",2005,813
"rwa",2006,872.3
"rwa",2007,901.5
"rwa",2008,1001
"rwa",2009,1042
"rwa",2010,1094
"rwa",2011,1160
"rwa",2012,1224
"rwa",2013,1289
"rwa",2014,1354
"rwa",2015,1419
"rwa",2016,1487
"rwa",2017,1558
"rwa",2018,1625
"ssd",1800,487.3
"ssd",1820,487.3
"ssd",1913,752.8
"ssd",1950,1560
"ssd",1951,1591
"ssd",1952,1624
"ssd",1953,1655
"ssd",1954,1689
"ssd",1955,1723
"ssd",1956,1854
"ssd",1957,1780
"ssd",1958,1803
"ssd",1959,1963
"ssd",1960,1945
"ssd",1961,1893
"ssd",1962,1970
"ssd",1963,1862
"ssd",1964,1794
"ssd",1965,1870
"ssd",1966,1799
"ssd",1967,1697
"ssd",1968,1753
"ssd",1969,1812
"ssd",1970,1688
"ssd",1971,1754
"ssd",1972,1668
"ssd",1973,1482
"ssd",1974,1582
"ssd",1975,1729
"ssd",1976,1984
"ssd",1977,2214
"ssd",1978,2105
"ssd",1979,1818
"ssd",1980,1770
"ssd",1981,1749
"ssd",1982,1905
"ssd",1983,1821
"ssd",1984,1669
"ssd",1985,1504
"ssd",1986,1517
"ssd",1987,1516
"ssd",1988,1502
"ssd",1989,1583
"ssd",1990,1413
"ssd",1991,1466
"ssd",1992,1500
"ssd",1993,1503
"ssd",1994,1491
"ssd",1995,1496
"ssd",1996,1532
"ssd",1997,1641
"ssd",1998,1689
"ssd",1999,1767
"ssd",2000,1884
"ssd",2001,1943
"ssd",2002,2004
"ssd",2003,2088
"ssd",2004,2137
"ssd",2005,2261
"ssd",2006,2425
"ssd",2007,2636
"ssd",2008,2650
"ssd",2009,2660
"ssd",2010,2709
"ssd",2011,3198
"ssd",2012,1433
"ssd",2013,1855
"ssd",2014,2714
"ssd",2015,2805
"ssd",2016,3122
"ssd",2017,3520
"ssd",2018,3853
"tza",1800,470.6
"tza",1820,470.6
"tza",1913,595.7
"tza",1950,654.2
"tza",1951,719.4
"tza",1952,716.7
"tza",1953,674.4
"tza",1954,711.1
"tza",1955,710
"tza",1956,700.3
"tza",1957,698.5
"tza",1958,685.9
"tza",1959,700.2
"tza",1960,708.9
"tza",1961,681.1
"tza",1962,722
"tza",1963,745.4
"tza",1964,763.2
"tza",1965,767.5
"tza",1966,840.3
"tza",1967,848.2
"tza",1968,865.7
"tza",1969,855.3
"tza",1970,877.5
"tza",1971,886.8
"tza",1972,916
"tza",1973,914.9
"tza",1974,907.4
"tza",1975,926.8
"tza",1976,964.5
"tza",1977,962.5
"tza",1978,961.3
"tza",1979,944.9
"tza",1980,925.3
"tza",1981,888.5
"tza",1982,874.2
"tza",1983,845
"tza",1984,840.9
"tza",1985,814.7
"tza",1986,816.7
"tza",1987,831.8
"tza",1988,840.7
"tza",1989,844.5
"tza",1990,850.8
"tza",1991,844.6
"tza",1992,825.7
"tza",1993,808.6
"tza",1994,790.9
"tza",1995,794
"tza",1996,813.6
"tza",1997,789.2
"tza",1998,798.1
"tza",1999,806.1
"tza",2000,826.2
"tza",2001,857.6
"tza",2002,899.1
"tza",2003,929.9
"tza",2004,972.5
"tza",2005,1018
"tza",2006,1057
"tza",2007,1101
"tza",2008,1149
"tza",2009,1183
"tza",2010,1229
"tza",2011,1270
"tza",2012,1330
"tza",2013,1395
"tza",2014,1466
"tza",2015,1539
"tza",2016,1612
"tza",2017,1687
"tza",2018,1763
"uga",1800,461.1
"uga",1820,461.1
"uga",1913,712.4
"uga",1950,759.9
"uga",1951,710.3
"uga",1952,734.8
"uga",1953,746.8
"uga",1954,716.7
"uga",1955,743.2
"uga",1956,763.1
"uga",1957,774.4
"uga",1958,758
"uga",1959,774.5
"uga",1960,788.7
"uga",1961,758.7
"uga",1962,767.3
"uga",1963,830.8
"uga",1964,868.3
"uga",1965,861.8
"uga",1966,888.7
"uga",1967,908.9
"uga",1968,904.6
"uga",1969,974.6
"uga",1970,961
"uga",1971,964.2
"uga",1972,950.7
"uga",1973,927.3
"uga",1974,908.3
"uga",1975,867.7
"uga",1976,852.4
"uga",1977,843.7
"uga",1978,777.4
"uga",1979,675.8
"uga",1980,638.8
"uga",1981,647.6
"uga",1982,682.3
"uga",1983,711.8
"uga",1984,630.5
"uga",1985,622
"uga",1986,603.2
"uga",1987,617.7
"uga",1988,636.8
"uga",1989,658.1
"uga",1990,661.3
"uga",1991,646.1
"uga",1992,644.2
"uga",1993,674.2
"uga",1994,693
"uga",1995,755.2
"uga",1996,799
"uga",1997,816.6
"uga",1998,830.7
"uga",1999,865.8
"uga",2000,881.2
"uga",2001,896.5
"uga",2002,927.7
"uga",2003,937.6
"uga",2004,959.7
"uga",2005,991
"uga",2006,1050
"uga",2007,1104
"uga",2008,1151
"uga",2009,1193
"uga",2010,1219
"uga",2011,1260
"uga",2012,1251
"uga",2013,1270
"uga",2014,1306
"uga",2015,1352
"uga",2016,1401
"uga",2017,1451
"uga",2018,1503
